index,domain,title,venue,year,citations,url,openAccessPdf,pdf_download_status,pdf_file
1,SE,On Proving the Correctness of Refactoring Class Diagrams of MDE Metamodels,ACM Transactions on Software Engineering and Methodology,2022,36,https://doi.org/10.1145/3549541,https://dl.acm.org/doi/pdf/10.1145/3549541,downloaded,data/papers_pdf/001_2022_On_Proving_the_Correctness_of_Refactoring_Class_Diagrams_of_MDE_Metamodels.pdf
2,SE,A survey of software refactoring,IEEE Transactions on Software Engineering,2004,1177,https://doi.org/10.1109/tse.2004.1265817,https://orbi.umons.ac.be/bitstream/20.500.12907/20050/1/TSE2004-surveyrefactoring.pdf,downloaded,data/papers_pdf/002_2004_A_survey_of_software_refactoring.pdf
3,SE,An approach to prioritize code smells for refactoring,Automated Software Engineering,2014,139,https://doi.org/10.1007/s10515-014-0175-x,https://link.springer.com/content/pdf/10.1007/s10515-014-0175-x.pdf,downloaded,data/papers_pdf/003_2014_An_approach_to_prioritize_code_smells_for_refactoring.pdf
4,SE,Automatic Software Repair: A Survey,IEEE Transactions on Software Engineering,2017,314,https://doi.org/10.1109/tse.2017.2755013,https://ieeexplore.ieee.org/ielx7/32/8605390/08089448.pdf,downloaded,data/papers_pdf/004_2017_Automatic_Software_Repair_A_Survey.pdf
5,PL,Kami: a platform for high-level parametric hardware specification and its modular verification,Proceedings of the ACM on Programming Languages,2017,94,https://doi.org/10.1145/3110268,http://plv.csail.mit.edu/kami/papers/icfp17.pdf,downloaded,data/papers_pdf/005_2017_Kami_a_platform_for_high-level_parametric_hardware_specification_and_its_modular_verification.pdf
6,PL,Leveraging rust types for modular specification and verification,Proceedings of the ACM on Programming Languages,2019,131,https://doi.org/10.1145/3360573,https://pm.inf.ethz.ch/publications/AstrauskasMuellerPoliSummers19b.pdf,downloaded,data/papers_pdf/006_2019_Leveraging_rust_types_for_modular_specification_and_verification.pdf
7,PL,System FR: formalized foundations for the stainless verifier,Proceedings of the ACM on Programming Languages,2019,27,https://doi.org/10.1145/3360592,https://dl.acm.org/doi/pdf/10.1145/3360592,downloaded,data/papers_pdf/007_2019_System_FR_formalized_foundations_for_the_stainless_verifier.pdf
8,PL,Passport: Improving Automated Formal Verification Using Identifiers,ACM Transactions on Programming Languages and Systems,2023,21,https://doi.org/10.1145/3593374,https://arxiv.org/pdf/2204.10370,downloaded,data/papers_pdf/008_2023_Passport_Improving_Automated_Formal_Verification_Using_Identifiers.pdf
9,PL,Interaction trees: representing recursive and impure programs in Coq,Proceedings of the ACM on Programming Languages,2019,126,https://doi.org/10.1145/3371119,https://dl.acm.org/doi/pdf/10.1145/3371119,downloaded,data/papers_pdf/009_2019_Interaction_trees_representing_recursive_and_impure_programs_in_Coq.pdf
10,PL,TacTok: semantics-aware proof synthesis,Proceedings of the ACM on Programming Languages,2020,38,https://doi.org/10.1145/3428299,https://people.cs.umass.edu/~brun/pubs/pubs/First20oopsla.pdf,downloaded,data/papers_pdf/010_2020_TacTok_semantics-aware_proof_synthesis.pdf
11,PL,"ISA semantics for ARMv8-a, RISC-v, and CHERI-MIPS",Proceedings of the ACM on Programming Languages,2019,112,https://doi.org/10.1145/3290384,https://www.cl.cam.ac.uk/~pes20/sail/sail-popl2019.pdf,downloaded,data/papers_pdf/011_2019_ISA_semantics_for_ARMv8-a_RISC-v_and_CHERI-MIPS.pdf
